Amplitude,Duration,Onset,Annotation
0,7.905970185676778,1.1019999999999754,695.8100000000001,auto spindle
1,6.5566323961960284,0.8040000000000873,707.352,auto spindle
2,6.698176846755866,0.5899999999999181,714.432,auto spindle
3,6.947769450645022,0.86200000000008,717.7760000000001,auto spindle
4,10.665979653737823,1.3299999999999272,729.534,auto spindle
5,9.5360722692967,1.2619999999999436,732.474,auto spindle
6,7.866531885221324,1.02800000000002,749.048,auto spindle
7,7.973470223585505,1.024000000000001,771.312,auto spindle
8,8.084688559387626,1.038000000000011,775.138,auto spindle
9,8.220922884334259,1.3220000000000027,777.356,auto spindle
10,7.019973180800146,0.8279999999999745,798.476,auto spindle
11,6.423515525235655,0.5979999999999563,801.1220000000001,auto spindle
12,7.696311936379543,1.0319999999999254,812.164,auto spindle
13,8.460647151060698,1.7340000000000373,815.054,auto spindle
14,6.658358171133226,0.79200000000003,818.22,auto spindle
15,6.7979966202130395,0.8899999999999864,829.94,auto spindle
16,7.517436473630911,0.9740000000000464,858.8240000000001,auto spindle
17,6.496015611642085,0.7580000000000382,863.2760000000001,auto spindle
18,8.38531910144143,1.6639999999999873,870.244,auto spindle
19,8.38531910144143,1.6639999999999873,870.244,auto spindle
20,8.779470194865114,1.1200000000000045,906.648,auto spindle
21,6.879528975015614,0.8719999999999573,920.4060000000001,auto spindle
22,6.352115122437309,0.613999999999919,928.0740000000001,auto spindle
23,6.937302147077113,1.04200000000003,931.2620000000001,auto spindle
24,7.86869088126892,1.731999999999971,944.72,auto spindle
25,7.854030070303477,1.2840000000001055,946.918,auto spindle
26,6.4713760259202155,0.7099999999999227,949.316,auto spindle
27,7.7452417864384495,1.0019999999999527,955.3240000000001,auto spindle
28,8.260415266613462,0.9839999999999236,957.1800000000001,auto spindle
29,10.238915621272325,1.8000000000000682,958.888,auto spindle
30,7.725249578150611,1.7039999999999509,962.134,auto spindle
31,7.500945195921452,1.6079999999999472,964.942,auto spindle
32,7.968848110772289,1.990000000000009,970.234,auto spindle
33,7.359065721593885,0.9720000000000937,973.158,auto spindle
34,8.283554493387319,1.419999999999959,1001.162,auto spindle
35,6.548874729518308,0.6520000000000437,1003.248,auto spindle
36,6.800106432233249,0.7319999999999709,1005.7520000000001,auto spindle
37,7.028058184051783,0.9900000000000091,1007.428,auto spindle
38,7.049906387740285,0.63799999999992,1038.81,auto spindle
39,7.5574727977401785,1.259999999999991,1051.228,auto spindle
40,7.708998621114157,1.0160000000000764,1062.276,auto spindle
41,7.320149753125767,1.05600000000004,1071.88,auto spindle
42,8.246924473419517,1.41800000000012,1079.19,auto spindle
43,7.420565599382782,1.1099999999999,1109.928,auto spindle
44,7.420565599382782,1.1099999999999,1109.928,auto spindle
45,8.33826677794204,1.3240000000000691,1112.368,auto spindle
46,7.231510557608018,1.0119999999999436,1122.852,auto spindle
47,7.658699236241997,1.538000000000011,1124.57,auto spindle
48,8.717407937709785,1.8799999999998818,1128.036,auto spindle
49,9.128284148433078,1.5140000000001237,1132.192,auto spindle
50,7.945316272876042,1.1140000000000327,1142.882,auto spindle
51,8.536075479596548,1.1979999999998654,1144.346,auto spindle
52,8.460205339012255,1.1779999999998836,1158.696,auto spindle
53,7.263618722241372,0.9800000000000182,1161.24,auto spindle
54,9.950812682176887,1.2619999999999436,1171.106,auto spindle
55,6.550090425411399,0.7880000000000109,1173.782,auto spindle
56,8.722056906572366,1.5779999999999745,1178.58,auto spindle
57,8.597184888791524,1.9519999999999982,1217.66,auto spindle
58,7.90357490540451,1.0299999999999727,1220.5040000000001,auto spindle
59,7.678538199503946,1.1199999999998909,1232.942,auto spindle
60,7.8476640107359374,0.9700000000000273,1235.704,auto spindle
61,9.937723699952723,1.821999999999889,1248.594,auto spindle
62,7.085012406872343,1.5960000000000036,1252.484,auto spindle
63,7.453412468046217,1.009999999999991,1254.926,auto spindle
64,7.119904810617241,0.6779999999998836,1257.5140000000001,auto spindle
65,10.480228070349154,1.599999999999909,1261.444,auto spindle
66,8.725628502767172,1.4559999999999036,1265.364,auto spindle
67,7.578793283412351,1.9020000000000437,1282.988,auto spindle
68,7.361862406765605,1.5599999999999454,1285.0140000000001,auto spindle
69,8.217862071164145,1.08199999999988,1298.508,auto spindle
70,9.444771913068077,1.655999999999949,1309.642,auto spindle
71,7.764312463883836,1.2639999999998963,1347.286,auto spindle
72,7.074039806320212,0.9760000000001128,1350.246,auto spindle
73,7.074039806320212,0.9760000000001128,1350.246,auto spindle
74,7.070676119038301,0.9459999999999127,1355.286,auto spindle
75,6.687059405945946,0.9299999999998363,1361.634,auto spindle
76,6.616936450260621,0.9279999999998836,1371.708,auto spindle
77,7.586713573760423,1.25,1374.508,auto spindle
78,7.758344614078406,1.2200000000000273,1379.02,auto spindle
79,10.034850447402137,1.7579999999998108,1382.256,auto spindle
80,8.360394588218965,1.349999999999909,1389.7640000000001,auto spindle
81,7.538470268537305,0.9059999999999491,1395.84,auto spindle
82,8.865825840501245,1.69399999999996,1399.058,auto spindle
83,8.412602967302213,1.36200000000008,1410.622,auto spindle
84,8.412602967302213,1.36200000000008,1410.622,auto spindle
85,6.748814593355794,0.8820000000000618,1428.588,auto spindle
86,8.20347426581693,1.0679999999999836,1434.4460000000001,auto spindle
87,7.551783501600624,1.231999999999971,1437.536,auto spindle
88,9.816683128295994,1.0899999999999181,1446.974,auto spindle
89,9.993156531631561,1.7640000000001237,1461.4,auto spindle
90,8.575076695421583,1.4500000000000455,1464.676,auto spindle
91,6.686923896799365,0.9700000000000273,1473.88,auto spindle
